Participant id,Technique,Granularity,Language,Block no,Condition no,Stimuli,User Response,Trial Start Time,Trial End Time,Trial Time,Accuracy,,Legend,,,T2G3L2,T2G3L1,T2G1L2,T2G1L1,T2G2L2,T2G2L1,T1G3L2,T1G3L1,T1G1L2,T1G1L1,T1G2L2,T1G2L1
P12,AUTOCOMPASTE,paragraph,Latin,1,9,"Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.","Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.",1.44324E+12,1.44324E+12,24864,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,paragraph,English,1,10,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,Tell us what to do with the stone. The Council has been divided on this for too long. Or are the rumors among the angels correct. And you have yet to consult the chalice?,1.44324E+12,1.44324E+12,16953,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,phrase,Latin,1,11,ante id sem tincidunt,ante id sem tincidunt,1.44324E+12,1.44324E+12,12857,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,phrase,English,1,12,can choose to take certain,,1.44324E+12,1.44324E+12,144040,0,,,,,,,,,,,,,,,,
P12,TRADITIONAL,sentence,Latin,1,13,"Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.",,1.44324E+12,1.44324E+12,213172,0,,,,,,,,,,,,,,,,
P12,TRADITIONAL,sentence,English,1,14,Yet we could see that certain traditions were still intact.,Yet we could see that certain traditions were still intact.,1.44324E+12,1.44324E+12,17015,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,paragraph,Latin,1,15,"Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.","Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.",1.44324E+12,1.44324E+12,12156,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,paragraph,English,1,16,"During the 20th century, over 200,000 humpbacks were estimated to have been taken. Reducing the global population by over 90%. With North Atlantic populations estimated to have dropped to as low as 700 individuals.","During the 20th century, over 200,000 humpbacks were estimated to have been taken. Reducing the global population by over 90%. With North Atlantic populations estimated to have dropped to as low as 700 individuals.",1.44324E+12,1.44324E+12,11185,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,phrase,Latin,1,17,bibendum mi vel neque,bibendum mi vel neque,1.44324E+12,1.44324E+12,32492,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,phrase,English,1,18,were hunting the animal,were hunting the animal,1.44324E+12,1.44324E+12,11561,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,sentence,Latin,1,19,"Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.","Morbi fringilla euismod dolor, eu consectetur sapien efficitur sed.",1.44324E+12,1.44324E+12,9446,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,sentence,English,1,20,"The darkness pervades this holy place, he thought.","The darkness pervades this holy place, he thought.",1.44324E+12,1.44324E+12,5510,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,paragraph,Latin,1,21,"Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.","Ut ornare tellus justo, luctus auctor eros facilisis quis. Nulla ac aliquet urna, et mollis elit. Integer a felis vel quam ultricies elementum. Aenean vel fringilla massa.",1.44324E+12,1.44324E+12,28519,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,paragraph,English,1,22,This means that there is need for a regular sequence of new editions. Normally one or two per year achieving that sequence can pose problems for the Editorial Secretary. Who may have too few or too many texts ready for publication at any one time.,This means that there is need for a regular sequence of new editions. Normally one or two per year achieving that sequence can pose problems for the Editorial Secretary. Who may have too few or too many texts ready for publication at any one time.,1.44324E+12,1.44324E+12,14410,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,phrase,Latin,1,23,aliquet et dolor mattis,aliquet et dolor mattis,1.44324E+12,1.44324E+12,15572,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,phrase,English,1,24,directly involved more than,directly involved more than,1.44324E+12,1.44324E+12,15842,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,sentence,Latin,1,25,"Praesent et nunc sollicitudin, vestibulum diam non, ultricies ligula.",,1.44324E+12,1.44324E+12,278520,0,,,,,,,,,,,,,,,,
P12,TRADITIONAL,sentence,English,1,26,"Reluctantly, I hoisted the chalice to my lips.","Reluctantly, I hoisted the chalice to my lips.",1.44324E+12,1.44324E+12,22286,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,paragraph,Latin,1,27,"Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.","Praesent sem mi, pharetra in hendrerit in, egestas nec metus. Cras pretium velit ipsum, sed convallis orci dignissim ut. In mattis justo gravida fermentum hendrerit. Cras mattis justo eu nisl iaculis lobortis.",1.44324E+12,1.44324E+12,22759,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,paragraph,English,1,28,This means that there is need for a regular sequence of new editions. Normally one or two per year achieving that sequence can pose problems for the Editorial Secretary. Who may have too few or too many texts ready for publication at any one time.,This means that there is need for a regular sequence of new editions. Normally one or two per year achieving that sequence can pose problems for the Editorial Secretary. Who may have too few or too many texts ready for publication at any one time.,1.44324E+12,1.44324E+12,10665,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,phrase,Latin,1,29,ante id sem tincidunt,ante id sem tincidunt,1.44324E+12,1.44324E+12,24778,1,,,,,,,,,,,,,,,,
P12,TRADITIONAL,phrase,English,1,30,can choose to take certain,can choose to take certain,1.44324E+12,1.44324E+12,10564,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,sentence,Latin,1,31,"Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.","Nunc tellus lorem, semper eget urna ac, bibendum gravida felis.",1.44324E+12,1.44324E+12,13105,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,sentence,English,1,32,Yet we could see that certain traditions were still intact.,Yet we could see that certain traditions were still intact.,1.44324E+12,1.44324E+12,9656,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,paragraph,Latin,1,33,"Cras scelerisque convallis elit, quis cursus justo auctor non. Aenean congue tortor vel ullamcorper lacinia. Proin elementum ullamcorper efficitur.","Cras scelerisque convallis elit, quis cursus justo auctor non. Aenean congue tortor vel ullamcorper lacinia. Proin elementum ullamcorper efficitur.",1.44324E+12,1.44324E+12,22702,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,paragraph,English,1,34,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,The positively and negatively charged leaders proceed in opposite directions. Positive upwards within the cloud and negative towards the earth. Both ionic channels proceed. In their respective directions. In a number of successive spurts.,1.44324E+12,1.44324E+12,29579,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,phrase,Latin,1,35,nunc a nisi fermentum,nunc a nisi fermentum,1.44324E+12,1.44324E+12,14173,1,,,,,,,,,,,,,,,,
P12,AUTOCOMPASTE,phrase,English,1,36,pervades this holy place,pervades this holy place,1.44324E+12,1.44324E+12,15492,1,,,,,,,,,,,,,,,,
