pid,technique,granularity,language,time,accuracy
P06,AUTOCOMPASTE,paragraph,English,12.407,1
P06,AUTOCOMPASTE,phrase,Latin,7.738,1
P06,AUTOCOMPASTE,phrase,English,9.68,1
P06,TRADITIONAL,sentence,Latin,21.886,1
P06,TRADITIONAL,sentence,English,13.72,1
P06,TRADITIONAL,paragraph,Latin,19.078,1
P06,TRADITIONAL,paragraph,English,32.425,1
P06,TRADITIONAL,phrase,Latin,20.472,1
P06,TRADITIONAL,phrase,English,25.128,1
P06,AUTOCOMPASTE,sentence,Latin,14.808,1
P06,AUTOCOMPASTE,sentence,English,11.72,1
P06,AUTOCOMPASTE,paragraph,Latin,7.327,1
P06,AUTOCOMPASTE,paragraph,English,15.261,1
P06,AUTOCOMPASTE,phrase,Latin,14.085,1
P06,AUTOCOMPASTE,phrase,English,15.108,1
P06,TRADITIONAL,sentence,Latin,24.12,1
P06,TRADITIONAL,sentence,English,18.883,1
P06,TRADITIONAL,paragraph,Latin,5.199,1
P06,TRADITIONAL,paragraph,English,6.506,1
P06,TRADITIONAL,phrase,Latin,19.974,1
P06,TRADITIONAL,phrase,English,6.622,1
P06,AUTOCOMPASTE,sentence,Latin,10.226,1
P06,AUTOCOMPASTE,sentence,English,4.811,1
P06,AUTOCOMPASTE,paragraph,Latin,19.271,0
P06,AUTOCOMPASTE,paragraph,English,13.518,1
P06,AUTOCOMPASTE,phrase,Latin,7.82,1
P06,AUTOCOMPASTE,phrase,English,6.575,1
P06,TRADITIONAL,sentence,Latin,8.023,1
P06,TRADITIONAL,sentence,English,5.446,1
P06,TRADITIONAL,paragraph,Latin,9.141,1
P06,TRADITIONAL,paragraph,English,9.735,1
P06,TRADITIONAL,phrase,Latin,8.698,1
P06,TRADITIONAL,phrase,English,8.191,1
P06,AUTOCOMPASTE,sentence,Latin,5.099,1
P06,AUTOCOMPASTE,sentence,English,12.459,1
P06,AUTOCOMPASTE,paragraph,Latin,7.157,1
P06,AUTOCOMPASTE,paragraph,English,6.177,1
P06,AUTOCOMPASTE,phrase,Latin,16.671,1
P06,AUTOCOMPASTE,phrase,English,19.658,1
P06,TRADITIONAL,sentence,Latin,14.378,1
P06,TRADITIONAL,sentence,English,13.083,1
P06,TRADITIONAL,paragraph,Latin,17.202,1
P06,TRADITIONAL,paragraph,English,6.234,1
P06,TRADITIONAL,phrase,Latin,5.5,1
P06,TRADITIONAL,phrase,English,6.257,1
P06,AUTOCOMPASTE,sentence,Latin,6.189,1
P06,AUTOCOMPASTE,sentence,English,4.884,1
P06,AUTOCOMPASTE,paragraph,Latin,8.046,1
P06,AUTOCOMPASTE,paragraph,English,7.333,1
P06,AUTOCOMPASTE,phrase,Latin,6.359,1
P06,AUTOCOMPASTE,phrase,English,5.685,1
P06,TRADITIONAL,sentence,Latin,17.777,1
P06,TRADITIONAL,sentence,English,13.938,1
